City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Havre-Saint-Pierre,CA,2021-11-24 18:45:56,50.2334,-63.5986,39.2,80,90,13.8
68,Constitucion,CL,2021-11-24 18:45:57,-35.3333,-72.4167,62.02,71,24,12.55
69,Georgetown,MY,2021-11-24 18:45:12,5.4112,100.3354,78.73,94,40,5.01
70,Hilo,US,2021-11-24 18:45:57,19.7297,-155.09,78.62,69,75,6.91
71,Provideniya,RU,2021-11-24 18:45:57,64.3833,-173.3,2.64,79,85,4.29
72,Pisco,PE,2021-11-24 18:44:42,-13.7,-76.2167,69.85,73,0,8.05
73,Butaritari,KI,2021-11-24 18:45:58,3.0707,172.7902,82.08,67,100,15.39
74,Dikson,RU,2021-11-24 18:45:58,73.5069,80.5464,8.49,89,100,8.5
75,Carlsbad,US,2021-11-24 18:45:44,33.1581,-117.3506,73.15,62,1,1.99
76,Mount Isa,AU,2021-11-24 18:45:59,-20.7333,139.5,73.17,64,90,13.8
77,Chuy,UY,2021-11-24 18:45:59,-33.6971,-53.4616,80.46,31,0,9.15
78,Oussouye,SN,2021-11-24 18:46:00,12.485,-16.5469,91.58,74,26,8.43
79,Belmonte,BR,2021-11-24 18:46:00,-15.8631,-38.8828,81.1,73,14,10.94
80,Airai,TL,2021-11-24 18:46:01,-8.9266,125.4092,62.13,93,100,0.69
81,Jiazi,CN,2021-11-24 18:46:01,22.8779,116.067,61.41,73,0,8.86
82,Palestine,PS,2021-11-24 18:46:02,31.9216,35.2033,56.93,85,100,2.26
83,Roald,NO,2021-11-24 18:46:02,62.5833,6.1333,39.34,87,40,8.05
84,Lebu,CL,2021-11-24 18:46:02,-37.6167,-73.65,61.21,73,34,10.13
85,Tuatapere,NZ,2021-11-24 18:46:03,-46.1333,167.6833,52.74,71,100,5.01
86,Mouila,GA,2021-11-24 18:46:03,-1.8685,11.0559,73.78,97,98,2.08
87,Carnarvon,AU,2021-11-24 18:46:04,-24.8667,113.6333,69.87,78,0,9.22
88,Mikhaylovka,RU,2021-11-24 18:46:04,50.06,43.2379,19.71,64,1,8.01
89,Villa Carlos Paz,AR,2021-11-24 18:46:05,-31.4241,-64.4978,89.38,48,99,11.99
90,Zemio,CF,2021-11-24 18:46:05,5.0314,25.1361,74.77,43,0,1.61
91,Santa Maria,BR,2021-11-24 18:46:05,-29.6842,-53.8069,87.1,15,0,13.8
92,Khatanga,RU,2021-11-24 18:47:06,71.9667,102.5,-11.25,95,27,4.65
93,Talnakh,RU,2021-11-24 18:47:06,69.4865,88.3972,11.32,95,100,7.7
94,Tombouctou,ML,2021-11-24 18:47:07,20.0,-3.0,81.7,25,28,8.5
95,Ulladulla,AU,2021-11-24 18:47:07,-35.35,150.4667,67.77,96,100,4.9
96,Puerto Ayora,EC,2021-11-24 18:47:08,-0.7393,-90.3518,82.36,69,67,11.43
97,Verkhniye Kigi,RU,2021-11-24 18:47:08,55.4083,58.6044,7.32,94,99,8.01
98,Warmbad,NA,2021-11-24 18:47:08,-28.45,18.7333,79.43,17,95,5.06
99,Ribeira Grande,PT,2021-11-24 18:47:09,38.5167,-28.7,66.6,77,75,26.46
100,Puerto Escondido,MX,2021-11-24 18:47:09,15.85,-97.0667,85.6,55,1,6.87
101,San Quintin,MX,2021-11-24 18:46:10,30.4833,-115.95,66.02,66,98,6.71
102,Clyde River,CA,2021-11-24 18:47:10,70.4692,-68.5914,8.83,92,100,27.63
103,Mason City,US,2021-11-24 18:47:11,43.1536,-93.201,55.53,57,1,12.66
104,Araouane,ML,2021-11-24 18:47:11,18.9048,-3.5265,82.38,25,3,8.43
105,Placido De Castro,BR,2021-11-24 18:47:11,-10.3353,-67.1856,77.97,92,100,3.06
106,Veroia,GR,2021-11-24 18:47:12,40.5233,22.2036,52.97,92,76,1.5
107,Souillac,MU,2021-11-24 18:47:12,-20.5167,57.5167,77.36,83,20,5.75
108,Bambous Virieux,MU,2021-11-24 18:47:13,-20.3428,57.7575,77.22,83,20,5.75
109,Sao Filipe,CV,2021-11-24 18:47:13,14.8961,-24.4956,78.66,72,1,4.81
110,Bengkulu,ID,2021-11-24 18:47:14,-3.8004,102.2655,75.22,77,99,3.98
111,De Aar,ZA,2021-11-24 18:47:14,-30.6497,24.0123,65.08,30,49,10.6
