City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Albany,US,42.6001,-73.9662,41.31,67,100,1.01,overcast clouds
81,Castro,BR,-24.7911,-50.0119,80.69,37,15,5.79,few clouds
82,Caravelas,BR,-17.7125,-39.2481,79.03,73,1,10.0,light rain
83,Jamestown,US,42.097,-79.2353,44.1,50,1,15.99,clear sky
84,Yining,CN,29.0361,114.5636,44.47,66,6,0.43,clear sky
85,Dikson,RU,73.5069,80.5464,-20.67,99,100,6.98,overcast clouds
86,Kaitangata,NZ,-46.2817,169.8464,60.3,83,100,5.57,light rain
87,San Quintin,MX,30.4833,-115.95,65.52,69,1,12.24,clear sky
88,Laguna,US,38.421,-121.4238,69.64,100,90,5.75,mist
89,Nanortalik,GL,60.1432,-45.2371,37.89,86,100,33.35,light rain
90,Sitka,US,57.0531,-135.33,22.89,86,20,6.91,few clouds
91,Butaritari,KI,3.0707,172.7902,82.85,76,13,16.33,few clouds
92,Severo-Kurilsk,RU,50.6789,156.125,32.59,66,78,30.6,broken clouds
93,Dwarka,IN,22.2394,68.9678,75.99,59,0,11.9,clear sky
94,Mar Del Plata,AR,-38.0023,-57.5575,60.82,79,0,14.0,clear sky
95,Tual,ID,-5.6667,132.75,83.57,77,100,12.12,moderate rain
96,Ajdabiya,LY,30.7554,20.2263,64.27,56,88,20.89,overcast clouds
97,Deputatskiy,RU,69.3,139.9,-39.78,96,26,2.33,scattered clouds
98,Majene,ID,-3.5403,118.9707,78.75,80,100,3.22,overcast clouds
99,Chokurdakh,RU,70.6333,147.9167,-40.7,100,64,4.14,broken clouds
100,Odda,NO,60.0691,6.5457,37.78,87,100,11.18,overcast clouds
101,Kayerkan,RU,69.3497,87.7602,-33.48,73,98,5.41,overcast clouds
102,Astorga,BR,-23.2325,-51.6656,88.03,28,4,2.48,clear sky
103,Clyde River,CA,70.4692,-68.5914,10.63,92,100,32.21,light snow
104,Saskylakh,RU,71.9167,114.0833,-20.09,98,100,4.5,overcast clouds
105,Nikolskoye,RU,59.7035,30.7861,17.49,94,100,5.93,overcast clouds
106,Talnakh,RU,69.4865,88.3972,-32.8,99,100,2.42,overcast clouds
107,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,74,26,10.45,scattered clouds
108,Doume,CM,4.2333,13.45,74.82,76,99,3.49,overcast clouds
109,Bara,NG,10.3744,10.7288,81.1,26,58,7.85,broken clouds
110,Okha,RU,53.5739,142.9478,-1.57,83,6,11.99,clear sky
111,Avarua,CK,-21.2078,-159.775,77.05,88,75,2.3,broken clouds
112,La Ronge,CA,55.1001,-105.2842,-0.15,65,20,4.61,few clouds
113,Coihaique,CL,-45.5752,-72.0662,73.35,31,0,8.05,clear sky
114,Mandali,IQ,33.7499,45.5541,58.59,33,100,4.18,overcast clouds
115,Les Cayes,HT,18.2,-73.75,85.03,60,41,7.18,scattered clouds
116,Tautira,PF,-17.7333,-149.15,84.0,70,90,14.27,overcast clouds
117,Cordoba,AR,-31.4135,-64.1811,80.24,50,75,10.36,broken clouds
118,Sunrise Manor,US,36.2111,-115.0731,70.18,26,1,4.61,clear sky
119,Hobyo,SO,5.3505,48.5268,79.32,73,37,16.82,scattered clouds
120,Torbay,CA,47.6666,-52.7314,32.68,48,40,28.77,scattered clouds
121,Lompoc,US,34.6391,-120.4579,58.32,79,90,0.0,overcast clouds
122,Marang,MY,5.2056,103.2059,75.11,80,96,3.78,overcast clouds
123,Houston,US,29.7633,-95.3633,81.39,74,75,3.0,broken clouds
124,Ossora,RU,59.2353,163.0719,28.33,97,100,7.58,snow
125,Plettenberg Bay,ZA,-34.0527,23.3716,62.38,95,100,18.07,light rain
126,Ubinskoye,RU,55.3068,79.6802,26.35,95,94,10.47,overcast clouds
127,Kirkkonummi,FI,60.1238,24.4385,12.06,90,90,12.57,overcast clouds
128,Balaghat,IN,21.8,80.1833,63.84,59,48,3.24,scattered clouds
129,Esperance,AU,-33.8667,121.9,53.44,87,39,11.01,scattered clouds
130,Pisco,PE,-13.7,-76.2167,72.01,78,20,11.5,few clouds
131,Dubbo,AU,-32.25,148.6167,57.33,88,0,9.22,clear sky
132,Riyadh,SA,24.6877,46.7219,60.94,28,3,5.28,clear sky
133,Namatanai,PG,-3.6667,152.4333,80.4,83,48,4.97,light rain
134,Pangody,RU,65.85,74.4859,-22.49,100,89,5.82,overcast clouds
135,Upernavik,GL,72.7868,-56.1549,15.51,80,100,6.13,light snow
136,Lorengau,PG,-2.0226,147.2712,83.52,79,100,18.77,overcast clouds
137,Walvis Bay,NA,-22.9575,14.5053,67.15,55,0,17.27,clear sky
138,Port Blair,IN,11.6667,92.75,79.27,80,39,9.84,scattered clouds
139,Georgetown,MY,5.4112,100.3354,79.9,85,20,3.0,few clouds
140,Constitucion,CL,-35.3333,-72.4167,69.17,54,6,15.75,clear sky
141,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,20,11.5,few clouds
142,Whitehorse,CA,60.7161,-135.0538,-15.7,75,20,1.99,few clouds
143,Alice Springs,AU,-23.7,133.8833,78.35,27,49,10.36,scattered clouds
144,Nome,US,64.5011,-165.4064,12.27,85,90,0.0,mist
145,Hasaki,JP,35.7333,140.8333,39.6,54,2,20.36,clear sky
146,Springdale,US,36.1867,-94.1288,63.27,63,90,11.99,overcast clouds
147,Labuhan,ID,-6.8844,112.2051,77.76,86,100,12.3,overcast clouds
148,Souillac,MU,-20.5167,57.5167,79.36,78,20,11.5,few clouds
149,Istisu,AZ,40.9457,48.0738,23.67,52,0,5.57,clear sky
150,San Patricio,US,28.017,-97.5169,82.49,57,35,11.97,scattered clouds
151,Ratanpur,IN,22.3,82.1667,60.75,82,47,3.69,scattered clouds
152,Luxor,EG,25.6989,32.6421,66.25,59,0,0.0,clear sky
153,Antalaha,MG,-14.9003,50.2788,76.17,86,87,5.7,light rain
154,Port Alfred,ZA,-33.5906,26.891,67.96,93,100,21.88,light rain
